temperature_C,day,ac_count,ac_hours,fridge_count,fridge_hours,tv_count,tv_hours,light_count,light_hours,fan_count,fan_hours,ac_kwh,fridge_kwh,tv_kwh,light_kwh,fan_kwh,total_kwh
32.5,Wednesday,1,3.9,1,21.0,1,2.7,5,5.6,3,10.7,6.82,3.15,0.27,1.68,1.6,13.54
29.3,Tuesday,1,3.06,1,18.5,1,2.0,2,1.8,3,3.4,4.28,2.78,0.2,0.22,0.51,7.96
33.2,Friday,1,3.59,1,19.1,1,1.4,4,5.6,1,7.6,6.64,2.86,0.14,1.34,0.38,11.35
37.6,Saturday,1,3.48,1,18.3,1,3.7,5,4.1,1,4.5,8.57,2.74,0.37,1.23,0.22,13.07
28.8,Friday,2,2.18,1,18.9,1,2.4,6,9.1,3,8.7,3.05,2.83,0.24,3.28,1.3,10.57
28.8,Monday,1,5.17,1,18.8,0,3.6,1,1.2,1,4.6,7.24,2.82,0.0,0.07,0.23,10.5
37.9,Saturday,0,0.0,1,19.2,1,1.8,2,1.8,0,8.1,0.0,2.88,0.18,0.22,0.0,3.28
33.8,Sunday,1,6.54,1,19.6,1,1.4,2,2.8,1,6.4,12.64,2.94,0.14,0.34,0.32,16.72
27.7,Monday,1,3.45,1,20.2,2,3.2,3,5.8,2,3.3,4.83,3.03,0.64,1.04,0.33,9.71
32.7,Wednesday,0,0.0,1,18.7,1,3.6,5,1.6,2,6.4,0.0,2.8,0.36,0.48,0.64,4.58
27.7,Tuesday,1,2.47,1,19.8,1,2.4,5,7.2,1,7.0,3.46,2.97,0.24,2.16,0.35,9.22
27.7,Thursday,2,4.36,1,18.6,1,2.0,5,0.0,1,7.2,6.1,2.79,0.2,0.0,0.36,9.45
31.2,Monday,2,3.98,1,17.4,2,4.2,6,7.0,3,5.5,6.24,2.61,0.84,2.52,0.82,12.86
20.4,Thursday,0,0.0,1,20.8,1,2.9,3,5.4,2,11.2,0.0,3.12,0.29,0.97,1.12,5.4
21.4,Thursday,2,2.79,1,19.0,1,2.0,2,4.0,2,9.9,3.91,2.85,0.2,0.48,0.99,8.62
27.2,Tuesday,1,4.41,1,17.4,1,1.5,2,2.0,2,6.7,6.17,2.61,0.15,0.24,0.67,9.44
24.9,Wednesday,1,2.98,1,20.8,0,2.3,6,5.9,2,3.4,4.17,3.12,0.0,2.12,0.34,9.48
31.6,Tuesday,1,4.37,1,19.6,1,2.6,5,5.9,2,4.0,7.1,2.94,0.26,1.77,0.4,12.23
25.5,Saturday,2,4.24,1,20.7,0,3.8,5,3.0,1,5.5,5.94,3.1,0.0,0.9,0.28,10.4
22.9,Monday,1,4.9,1,20.6,1,3.0,3,4.3,1,5.8,6.86,3.09,0.3,0.77,0.29,11.41
37.3,Thursday,1,5.7,1,18.4,0,2.9,3,2.0,2,4.3,13.81,2.76,0.0,0.36,0.43,17.21
28.9,Tuesday,1,4.16,1,21.4,1,2.1,6,10.2,2,4.9,5.82,3.21,0.21,3.67,0.49,13.33
30.3,Tuesday,1,4.18,1,17.3,1,4.4,2,1.7,3,2.0,6.03,2.6,0.44,0.2,0.3,9.59
22.9,Tuesday,0,0.0,1,19.4,0,4.0,5,5.6,1,1.7,0.0,2.91,0.0,1.68,0.08,4.82
27.3,Monday,2,4.7,1,19.3,1,3.9,3,5.0,3,6.0,6.58,2.9,0.39,0.9,0.9,11.52
30.6,Wednesday,1,3.42,1,18.8,1,2.9,1,1.8,3,9.2,5.08,2.82,0.29,0.11,1.38,9.7
24.2,Sunday,1,4.53,1,21.8,1,3.4,5,8.6,1,2.9,6.34,3.27,0.34,2.58,0.14,12.62
31.9,Tuesday,0,0.0,1,20.5,1,0.4,3,4.5,2,5.6,0.0,3.08,0.04,0.81,0.56,4.47
27.0,Monday,1,4.37,1,17.9,1,3.2,5,3.0,2,6.0,6.12,2.68,0.32,0.9,0.6,10.49
28.5,Thursday,0,0.0,1,18.1,0,4.9,5,6.6,3,6.7,0.0,2.72,0.0,1.98,1.01,5.74
27.0,Saturday,0,0.0,1,23.2,1,2.4,4,4.9,2,5.0,0.0,3.48,0.24,1.18,0.5,5.28
39.3,Sunday,1,3.01,1,19.3,1,2.0,5,5.3,2,3.8,8.13,2.9,0.2,1.59,0.38,13.21
29.9,Friday,1,3.88,1,18.8,1,2.9,4,5.5,2,7.3,5.43,2.82,0.29,1.32,0.73,10.82
24.7,Sunday,1,1.28,1,21.7,1,2.1,3,2.3,1,2.1,1.79,3.26,0.21,0.41,0.11,5.94
34.1,Sunday,0,0.0,1,17.3,1,2.1,5,6.6,1,6.8,0.0,2.6,0.21,1.98,0.34,5.34
23.9,Monday,1,2.53,1,22.1,1,3.3,4,4.5,2,4.4,3.54,3.32,0.33,1.08,0.44,8.76
31.0,Friday,0,0.0,1,18.8,1,3.8,1,1.0,2,6.5,0.0,2.82,0.38,0.06,0.65,4.08
20.2,Tuesday,2,4.27,1,20.8,0,3.3,6,3.5,2,8.3,5.98,3.12,0.0,1.26,0.83,10.92
23.4,Tuesday,1,3.7,1,19.3,1,1.9,4,2.3,2,4.6,5.18,2.9,0.19,0.55,0.46,9.03
31.0,Sunday,1,5.65,1,17.6,2,2.3,6,13.4,1,5.3,8.7,2.64,0.46,4.82,0.26,16.73
33.7,Monday,1,5.24,1,20.3,1,3.3,6,8.5,2,5.2,10.06,3.04,0.33,3.06,0.52,16.87
30.9,Friday,0,0.0,1,21.4,1,3.7,4,10.2,0,10.6,0.0,3.21,0.37,2.45,0.0,6.19
29.4,Tuesday,2,3.47,1,16.5,1,2.8,4,10.3,2,5.7,4.86,2.48,0.28,2.47,0.57,10.43
28.5,Thursday,1,5.08,1,18.3,1,2.1,4,8.6,3,5.7,7.11,2.74,0.21,2.06,0.86,12.78
22.6,Wednesday,1,2.71,1,21.9,1,3.8,4,1.9,2,5.8,3.79,3.28,0.38,0.46,0.58,8.47
26.4,Wednesday,1,4.25,1,20.6,1,4.8,6,13.6,0,8.7,5.95,3.09,0.48,4.9,0.0,14.44
27.7,Tuesday,0,0.0,1,20.7,1,4.1,5,6.2,1,4.7,0.0,3.1,0.41,1.86,0.24,5.74
35.3,Friday,2,4.29,1,21.4,1,5.0,2,2.3,2,7.6,9.2,3.21,0.5,0.28,0.76,13.91
31.7,Saturday,1,4.46,1,20.7,1,2.4,4,4.2,2,4.5,7.3,3.1,0.24,1.01,0.45,12.07
21.2,Tuesday,1,4.17,1,20.2,2,4.0,6,6.6,2,4.3,5.84,3.03,0.8,2.38,0.43,12.61
31.6,Saturday,0,0.0,1,21.7,1,4.3,4,6.4,1,6.7,0.0,3.26,0.43,1.54,0.34,5.44
28.1,Saturday,0,0.0,1,19.4,1,2.5,5,14.3,2,8.4,0.0,2.91,0.25,4.29,0.84,8.31
26.6,Friday,2,3.88,1,20.0,1,2.2,5,1.2,2,5.2,5.43,3.0,0.22,0.36,0.52,9.62
33.1,Saturday,1,5.06,1,21.2,1,2.0,3,7.9,1,5.2,9.27,3.18,0.2,1.42,0.26,14.27
35.2,Thursday,1,2.26,1,18.9,1,2.9,3,7.0,2,7.3,4.8,2.83,0.29,1.26,0.73,10.04
34.7,Friday,0,0.0,1,22.1,1,1.5,5,6.1,1,6.0,0.0,3.32,0.15,1.83,0.3,5.47
25.8,Tuesday,1,3.7,1,20.4,1,4.7,4,4.0,2,7.4,5.18,3.06,0.47,0.96,0.74,10.64
28.5,Sunday,1,3.3,1,18.3,1,1.7,4,1.7,3,2.7,4.62,2.74,0.17,0.41,0.4,8.29
31.7,Thursday,1,4.94,1,19.7,1,3.4,5,3.6,2,3.9,8.1,2.95,0.34,1.08,0.39,12.79
